coff_symbol,address,data_hex,addends,evidence,validation
__real@c2340000,0x006AFDE0,000034c2,0x0,target bytes and IEEE-754 value verified as float -45.0 for action 214 direction angle,literal
__real@c3070000,0x006AFDC0,000007c3,0x0,target bytes and IEEE-754 value verified as float -135.0 for action 214 direction angle,literal
__real@c2b40000,0x006AFD98,0000b4c2,0x0,target bytes and IEEE-754 value verified as float -90.0 for action 214 direction angle,literal
__real@c3340000,0x006B01F0,000034c3,0x0,target bytes and IEEE-754 value verified as float -180.0 for shared heading normalization,literal
__real@42340000,0x006AFE00,00003442,0x0,target bytes and IEEE-754 value verified as float 45.0 for action 214 direction angle,literal
__real@43070000,0x006AFDD4,00000743,0x0,target bytes and IEEE-754 value verified as float 135.0 for action 214 direction angle,literal
__real@42b40000,0x006AFD9C,0000b442,0x0,target bytes and IEEE-754 value verified as float 90.0 for action 214 direction angle,literal
__real@43340000,0x006C0F04,00003443,0x0,target bytes and IEEE-754 value verified as float 180.0 for action 214 direction angle,literal
_orientation_degree_scale,0x006C0F04,00003443,0x0,source-facing volatile float alias of the verified shared 180.0 orientation constant,literal
_orientation_pi,0x006B74A8,db0f4940,0x0,source-facing volatile float alias of the verified shared pi orientation constant,literal
__real@41200000,0x006C0F10,00002041,0x0,target bytes and IEEE-754 value verified as float 10.0 for quantized orientation lookup,literal
__real@0000000000000000,0x006C0ED0,0000000000000000,0x0,target bytes and IEEE-754 value verified as double 0.0 in fighter position commit,literal
__real@42200000,0x006AEA40,00002042,0x0,target bytes and IEEE-754 value verified as float 40.0,literal
__real@449b0000,0x006AEA3C,00009b44,0x0,target bytes and IEEE-754 value verified as float 1240.0,literal
__real@4044000000000000,0x006AD3D8,0000000000004440,0x0,target double 40.0 bytes verified,literal
__real@4094000000000000,0x006ACF00,0000000000009440,0x0,target double 1280.0 bytes verified,literal
__real@4014000000000000,0x006AC648,0000000000001440,0x0,target double 5.0 bytes verified,literal
__real@4074000000000000,0x006ACEC8,0000000000007440,0x0,target double 320.0 bytes verified for fighter initial horizontal position,literal
__real@407e000000000000,0x006ACEB8,0000000000007e40,0x0,target double 480.0 bytes verified for fighter initial horizontal position,literal
?stage_surface_heights@@3PAMA,0x006E4E38,00000000,0x0;0x13fc,target table base plus first raw and last PE-zero-filled floats verified from stage-height lookup,literal
?g_orientation_cosine_table@th105@@3PAMA,0x006E8E58,00000000,0x0;0x383c,target 3600-float BSS table base and last zero-filled entry verified before runtime initialization,literal
?g_info_manager@th105@@3PAUInfoManager@1@A,0x006E6248,00000000,0x0,target BSS pointer and zero-filled object symbol verified for hit-exchange scratch reset,literal
?g_effect_sink@th105@@3PAUEffectSink@1@A,0x006E6250,00000000,0x0,target BSS pointer and zero-filled effect-sink symbol verified from two virtual dispatch wrappers,literal
?g_fighter_phase_context@th105@@3PAUFighterPhaseContext@1@A,0x006E623C,00000000,0x0,target BSS pointer and zero-filled fighter-phase context verified from exact phase wrappers,literal
?g_battle_object_manager@th105@@3PAUBattleObjectManager@1@A,0x006E6240,00000000,0x0,target BSS pointer and zero-filled battle-object manager verified from shared battle phase,literal
?g_indexed_event_handles@th105@@3PAIA,0x006E7038,00000000,0x0;0x1fc,target 128-entry zero-filled indexed wave-handle table verified,literal
?g_wave_handle_service@th105@@3UOpaqueWaveHandleService@1@A,0x006EC830,00000000,0x0,target zero-filled opaque wave-handle service object and direct target address verified,address
??_C@_0BE@KPICLJDF@data?1se?1?$CFs?1?$CF03d?4wav?$AA@,0x006AEB28,646174612f73652f25732f253033642e77617600,0x0,target indexed character wave path format bytes verified,literal
??_C@_0BI@LDOABOLK@data?1stand?1cutin?1?$CFs?4bmp?$AA@,0x006AED20,646174612f7374616e642f637574696e2f25732e626d7000,0x0,target fighter cut-in bitmap path format bytes verified,literal
__real@bf800000,0x006C0EDC,000080bf,0x0,target fighter cut-in mirrored float minus one bytes verified,literal
??_C@_0CF@FHHKEGPJ@data?1character?1?$CFs?1back?1spell?$CF03d@,0x006AEC4C,646174612f6368617261637465722f25732f6261636b2f7370656c6c253033642e626d7000,0x0,target per-character back spell bitmap path format bytes verified,literal
??_C@_0CE@NPKABDGF@data?1character?1?$CFs?1face?1face?$CF03d?4@,0x006AEC74,646174612f6368617261637465722f25732f666163652f66616365253033642e626d7000,0x0,target per-character face bitmap path format bytes verified,literal
?g_common_spell_tree@th105@@3USpellTree@1@A,0x006E4E14,00000000,0x0;0x4,target zero-filled common spell tree header words and end-node addend verified,literal
??_C@_0BK@LLDEPKNL@data?1csv?1?$CFs?1spellcard?4csv?$AA@,0x006AD2E0,646174612f6373762f25732f7370656c6c636172642e63737600,0x0,target spellcard CSV format string bytes verified,literal
??_C@_0BL@FDFMFODE@data?1csv?1?$CFs?1storySpell?4csv?$AA@,0x006AD2FC,646174612f6373762f25732f73746f72795370656c6c2e63737600,0x0,target storySpell CSV format string bytes verified,literal
?g_direct_sound_globals@th105@@3UDirectSoundGlobals@1@A,0x006ED3E8,00000000,0x0;0x4;0x8,target BSS DirectSound pointer block with primary buffer device and 3D listener fields,literal
_title_bgm_path,0x006AC890,646174612f62676d2f6f702e6f676700,0x0,target title BGM path bytes,address
_iid_direct_sound_buffer8,0x006B72E4,49a425682475824d920f50e36ab3ab1e,0x0,target IID_IDirectSoundBuffer8 bytes,literal
_direct_sound_error_title,0x006C0E18,44536f756e642d4572726f7200,0x0,target DirectSound error caption bytes,literal
_create_sound_buffer_error,0x006C0E28,c1d9cab1bbbab4e6c9fab3c9caa7b0dca1a300,0x0,target create-buffer failure text bytes,literal
__imp__MessageBoxA@16,0x006AC21C,c0e62c00,0x0,target USER32 MessageBoxA IAT slot and on-disk thunk RVA,literal
_direct_sound_volume_units,0x006C0F08,0000c842,0x0,target float 100.0,literal
_logarithmic_volume_scale,0x006C0F0C,48e10442,0x0,target float 33.220001220703125,literal
__ehhandler$??1CTitle@th105@@UAE@XZ,0x006A499D,8b5424088d42f48b,0x0,target VC8 CTitle destructor EH handler entry bytes,literal
___security_cookie,0x006E1A88,4ee640bb,0x0,target VC8 security cookie address and bytes,address
__ehhandler$??0SpellRecordView@th105@@QAE@ABU01@@Z,0x006A5288,8b5424088d42f08b,0x0,target VC8 SpellRecordView copy-constructor EH handler entry bytes,address
__ehhandler$?parse_spell_csv_and_build_card_resources@th105@@YGXPBD0PAUDwordDeque4@1@PAUSpellTree@1@@Z,0x006A53D8,8b5424088d823cfd,0x0,target VC8 free stdcall spell-card parser EH handler entry bytes,address
??_7CTitle@th105@@6B@,0x006ACCF4,80514200,0x0,target RTTI-owned CTitle vtable address and first slot,address
?g_title_resource_manager@th105@@3UTitleResourceManager@1@A,0x006ECD40,00000000,0x0,target zero-filled title resource-manager object address,address
_title_color_vtable_anchor,0x006AC624,40a84000,0x0,target title color vtable address and first slot,address
??_7CSceneBase@th105@@6B@,0x006AC77C,f0d34100,0x0,target RTTI-owned CSceneBase vtable address and first slot,address
??_7IScene@th105@@6B@,0x006AC454,f0d34100,0x0,target RTTI-owned IScene vtable address and first slot,address
__imp__GetFileSize@8,0x006AC054,b0e52c00,0x0,target KERNEL32 GetFileSize IAT slot and on-disk thunk RVA,literal
__imp__SetFilePointer@16,0x006AC058,9ee52c00,0x0,target KERNEL32 SetFilePointer IAT slot and on-disk thunk RVA,literal
__imp__ReadFile@20,0x006AC05C,92e52c00,0x0,target KERNEL32 ReadFile IAT slot and on-disk thunk RVA,literal
__imp__CreateFileA@28,0x006AC06C,84e52c00,0x0,target KERNEL32 CreateFileA IAT slot and on-disk thunk RVA,literal
__imp__CloseHandle@4,0x006AC0AC,60e52c00,0x0,target KERNEL32 CloseHandle IAT slot and on-disk thunk RVA,literal
__imp__LeaveCriticalSection@4,0x006AC118,30e92c00,0x0,target KERNEL32 LeaveCriticalSection IAT slot and on-disk thunk RVA,literal
__imp__EnterCriticalSection@4,0x006AC11C,48e92c00,0x0,target KERNEL32 EnterCriticalSection IAT slot and on-disk thunk RVA,literal
??_7CFileReader@th105@@6B@,0x006ACF34,70c94000,0x0,target RTTI-owned CFileReader vtable address and first slot,address
??_7CPackageFileReader@th105@@6B@,0x006C0E4C,70c94000,0x0,target RTTI-owned CPackageFileReader vtable address and first slot,address
?g_package_file_index@th105@@3PAXA,0x006ECEBC,00000000,0x0,target zero-filled package index root address,address
__ehhandler$?load_sfl_loop_metadata@th105@@YAXPBDPAUOggDataSource@1@@Z,0x006AA8BB,8b5424088d82d8fe,0x0,target VC8 SFL metadata loader EH handler entry bytes,address
__real@41f0000000000000,0x006C0EF8,000000000000f041,0x0,target bytes and IEEE-754 double 4294967296.0,literal
?g_direct_input_backend@th105@@3UDirectInputBackend@1@A,0x006ECFD0,00000000,0x0;0x20,target DirectInput backend object and raw keyboard-state offsets,address
__ehhandler$??1CSelectScenario@th105@@UAE@XZ,0x006A484F,8b5424088d42f08b,0x0,target VC8 CSelectScenario destructor EH handler entry bytes,address
??_7CSelectScenario@th105@@6B@,0x006ACC20,d0474200,0x0,target RTTI-owned CSelectScenario vtable address and first slot,address
__ehhandler$??1GuideOverlay@th105@@QAE@XZ,0x006A607B,8b5424088d42f88b,0x0,target VC8 GuideOverlay destructor EH handler entry bytes,address
_select_sprite_vtable_anchor,0x006AC668,40a84000,0x0,target CSprite vtable address and first slot,address
??_7CSprite@@6B@,0x006AC668,40a84000,0x0,target RTTI-owned global CSprite vtable and first slot used by spell-sequence preparation,address
_select_tile_vtable_anchor,0x006AC718,40a84000,0x0,target CTile vtable address and first slot,address
_guide_texture_path_format,0x006AD82C,646174612f67756964652f253032642e626d7000,0x0,target guide bitmap format string,address
?g_render_mode_manager@th105@@3URenderModeManager@1@A,0x006E3DBC,a8096c00,0x0,target shared renderer-state object address,address
__real@43e40000,0x006AD840,0000e443,0x0,target float 456.0 bytes,literal
__real@4f800000,0x006C0F1C,0000804f,0x0,target float 4294967296.0 for unsigned-to-float conversion,literal
__imp__wsprintfA,0x006AC1E0,9ae62c00,0x0,target USER32 wsprintfA IAT slot and on-disk thunk RVA,literal
_g_scene_mode,0x006D094C,16000000,0x0,target live scene-mode global address and initial bytes,address
__real@406fe00000000000,0x006AC840,0000000000e06f40,0x0,target double 255.0 used by scenario alpha calculation,literal
__real@4054000000000000,0x006AC850,0000000000005440,0x0,target double 80.0 scenario spacing,literal
__real@4056000000000000,0x006AC858,0000000000005640,0x0,target double 88.0 preview x offset,literal
__ehhandler$?update@CSelectScenario@th105@@UAEHXZ,0x006A479B,8b5424088d42f88b,0x0,target VC8 CSelectScenario update EH handler entry bytes,address
_g_active_scene_id,0x006ECE40,00000000,0x0,target active scene identifier address,address
__ehhandler$??0CSelectScenario@th105@@QAE@XZ,0x006A48DF,8b5424088d42d48b,0x0,target VC8 CSelectScenario constructor EH handler entry bytes,address
_select_background_path,0x006ACBAC,646174612f7363656e652f73656c6563742f62672e626d7000,0x0,target scenario selection background path,address
_select_clear_path,0x006ACC88,646174612f7363656e652f73656c6563742f7363656e6172696f2f636c6561722e626d7000,0x0,target scenario cleared-marker path,address
_select_character_name_path,0x006ACC60,646174612f7363656e652f73656c6563742f7363656e6172696f2f6368725f6e616d652e626d7000,0x0,target scenario character-name tile path,address
_select_design_path,0x006ACC3C,646174612f7363656e652f73656c6563742f7363656e6172696f2f73632e64617400,0x0,target scenario selection design path,address
_scenario_stand_path_format,0x006ACC08,646174612f7374616e642f25732e626d7000,0x0,target scenario stand bitmap format string,address
?g_body_collision_edge_owner_a@th105@@3CA,0x006D1B6C,ff,0x0,target initialized signed byte and sole-function xrefs verified,literal
?g_body_collision_edge_owner_b@th105@@3CA,0x006D1B6D,ff,0x0;0xffffffff,target initialized signed byte plus VC8 adjacent-symbol -1 addend verified,literal
__ehhandler$??0CMenuSelect@th105@@QAE@XZ,0x006A6CCC,8b5424088d42ec8b,0x0,target VC8 CMenuSelect constructor EH handler entry bytes,address
__ehhandler$??1CMenuSelect@th105@@UAE@XZ,0x006A6C7C,8b5424088d42f48b,0x0,target VC8 CMenuSelect destructor EH handler entry bytes,address
??_7CMenuSelect@th105@@6B@,0x006AE108,80674400,0x0,target RTTI-owned CMenuSelect vtable address and scalar deleting destructor slot,address
??_7Menu@th105@@6B@,0x006AD974,30ec4300,0x0,target RTTI-owned Menu base vtable address and scalar deleting destructor slot,address
_menu_select_design_path,0x006AE118,646174612f6d656e752f73656c6563742f73656c6563742e64617400,0x0,target CMenuSelect design archive path bytes,address
_g_active_menu_input,0x006E75D0,00000000,0x0,target zero-filled active menu input pointer used by menu cursor construction,address
__real@43800000,0x006AD984,00008043,0x0,target float 256.0 menu cursor scale,literal
__real@4020000000000000,0x006AC9B0,0000000000002040,0x0,target double 8.0 menu cursor vertical offset,literal
??0GuideOverlay@th105@@QAE@XZ,0x0043DAF0,8bc133c989480cc7,0x0,target GuideOverlay constructor address used by VC8 array-constructor metadata,address
??1GuideOverlay@th105@@QAE@XZ,0x0043D8E0,6aff687b606a0064,0x0,target GuideOverlay destructor address used by VC8 array construction and destruction metadata,address
__ehhandler$?update_player_assignment@CMenuSelect@th105@@AAE_NXZ,0x006A71C0,8b5424088d42b48b,0x0,target VC8 CMenuSelect player-assignment EH handler entry bytes,address
__ehhandler$?update_primary_selection@CMenuSelect@th105@@AAE_NXZ,0x006A6C27,8b5424088d42ec8b,0x0,target VC8 CMenuSelect primary-selection EH handler entry bytes,address
??_7ResultList@th105@@6B@,0x006AE060,90584400,0x0,target RTTI-owned ResultList vtable address and deleting-destructor slot,address
__ehhandler$??0CMenuResult@th105@@QAE@XZ,0x006A6B48,8b5424088d42e48b,0x0,target VC8 CMenuResult constructor EH handler entry bytes,address
__ehhandler$??1CMenuResult@th105@@UAE@XZ,0x006A6AC8,8b5424088d42ec8b,0x0,target VC8 CMenuResult destructor EH handler entry bytes,address
??_7CMenuResult@th105@@6B@,0x006AE078,105c4400,0x0,target RTTI-owned CMenuResult vtable address and deleting-destructor slot,address
_menu_result_design_path,0x006ADE4C,646174612f6d656e752f726573756c742f726573756c742e64617400,0x0,target CMenuResult design archive path bytes,address
??0ResultList@th105@@QAE@XZ,0x00445560,568bf1e83836ffff,0x0,target ResultList constructor address used by VC8 array-constructor metadata,address
??1ResultList@th105@@QAE@XZ,0x004455E0,568bf18d8ef40000,0x0,target ResultList destructor address used by VC8 array construction and destruction metadata,address
?entry_count@ResultListBase@th105@@QBEHXZ,0x004381A0,8b81a4000000c3,0x0,target four-byte list entry-count accessor address used by CMenuResult update,address
?render_row@ResultListBase@th105@@QAEXMMI@Z,0x00438680,83ec08568bf18b86,0x0,target result-row rendering helper address used by CMenuResult render,address
__real@c2800000,0x006AE058,000080c2,0x0,target float -64.0 bytes used for result character stand x position,literal
__real@4060000000000000,0x006AD878,0000000000006040,0x0,target double 128.0 bytes used for result-list x offset,literal
__real@4030000000000000,0x006AD880,0000000000003040,0x0,target double 16.0 bytes used for result-list row spacing,literal
__real@44000000,0x006AC634,00000044,0x0,target float 512.0 bytes used for result-menu cursor scale,literal
__ehhandler$?update_active@CMenuResult@th105@@AAE_NXZ,0x006A6A4B,8b5424088d42f08b,0x0,target VC8 CMenuResult active-update EH handler entry bytes,address
_g_next_scene_mode,0x006D0950,ffffffff,0x0,target next-scene mode global address and initial minus-one bytes,address
__ehhandler$?populate@ResultList@th105@@UAEXXZ,0x006A6BBF,8b5424088d8290fb,0x0,target VC8 ResultList population EH handler entry bytes,address
_result_empty_row_format,0x006AE088,3c636f6c6f72203830383038303ea3bf,0x0,target result-menu unavailable-row format prefix bytes,address
_result_row_format,0x006AE0C0,252d3338732025732020253033642f25303364202054696d6520253032642e2530326400,0x0,target result-menu formatted spell-result row bytes,address
??_7CProfileMenu@th105@@6B@,0x006AE48C,70c04400,0x0,target RTTI-owned CProfileMenu vtable address and scalar deleting-destructor slot,address
__ehhandler$??0CProfileMenu@th105@@QAE@XZ,0x006A73C0,8b5424088d42e88b,0x0,target VC8 CProfileMenu constructor EH handler entry bytes,address
__ehhandler$??1CProfileMenu@th105@@UAE@XZ,0x006A7310,8b5424088d42ec8b,0x0,target VC8 CProfileMenu destructor EH handler entry bytes,address
_profile_menu_design_path,0x006AE49C,646174612f70726f66696c652f70726f66696c652e64617400,0x0,target CProfileMenu design archive path bytes,address
_profile_editor_records,0x006E7658,00000000,0x0;0x14,target zero-filled shared profile editor record table address and proven first-range addend,address
__real@4010000000000000,0x006ACCD0,0000000000001040,0x0,target double 4.0 profile-menu cursor y offset,literal
__real@405d000000000000,0x006AE3B0,0000000000005d40,0x0,target double 116.0 profile-editor x offset,literal
__real@4039000000000000,0x006AE3B8,0000000000003940,0x0,target double 25.0 profile-editor y offset,literal
_g_profile_menu_controller,0x006E3E00,00000000,0x0,target zero-filled shared profile controller object,address
_g_profile_name_list,0x006E7868,00000000,0x0,target zero-filled shared loaded-profile list object,address
_profile_name_empty,0x006C0A4E,00,0x0,target empty profile-name sentinel byte,address
_profile_file_extension,0x006AE410,2e64617400,0x0,target .dat suffix used to form profile paths,address
_profile_copy_suffix,0x006AE44C,20d2d1b4e6d4daa3accac7b7f1cce6bbbba3bf00,0x0,target localized suffix used for the duplicate-profile message,address
__ehhandler$?update_state_six@CProfileMenu@th105@@AAE_NXZ,0x006A7260,8b5424088d42bc8b,0x0,target VC8 CProfileMenu state-six EH handler entry bytes,address
__ehhandler$??0CEffectSprite@@QAE@XZ,0x006A4288,8b5424088d42f88b,0x0,target VC8 global CEffectSprite constructor EH handler entry bytes,address
__ehhandler$?prepare_next_spell_sequence_entry@Fighter@th105@@QAEXXZ,0x006A7D1B,8b5424088d8260ff,0x0,target VC8 spell-sequence preparation EH handler entry bytes,address
__ehhandler$?poll_synchronized_input_4708b0@BattleInputGate@th105@@QAEEXZ,0x006A8958,8b5424088d42f08b,0x0,target VC8 synchronized-input gate EH handler entry bytes,address
__ehhandler$?dispatch_battle_state_frame_470940@BattleController@th105@@QAEHXZ,0x006A898B,8b5424088d42f48b,0x0,target VC8 central battle frame dispatcher EH handler entry bytes,address
??_7CEffectSprite@@6B@,0x006AC72C,30eb410040a7400060a7400080a74000,0x0,target RTTI-owned global CEffectSprite vtable and four observed slots,address
??_7IColor@@6B@,0x006AC624,40a8400074b0670074b0670074b06700,0x0,target RTTI-owned global IColor vtable and four observed slots,address
??_7AttackObject@@6B@,0x006AEB44,a0e2450030aa450010aa450050ad450020ae450050ac4500e0ac4500b0ab4500,0x0,target RTTI-owned global AttackObject vtable and eight observed slots,address
??_7CharacterObject@@6B@,0x006B001C,b027490030aa450010aa450050ad450020ae450050ac4500e0ac4500b0ab4500,0x0,target RTTI-owned global CharacterObject vtable and eight observed slots,address
__ehhandler$?acquire@ReimuObjectPool@th105@@QAEPAVReimuObject@@PAI@Z,0x006A9414,8b5424088d42e48b,0x0,target VC8 Reimu object-pool acquire EH handler entry bytes,address
??_7ReimuObject@@6B@,0x006B00B4,f02a490030aa450010aa450050ad4500,0x0,target RTTI-owned global ReimuObject vtable and four observed slots,address
__ehhandler$?acquire@SakuyaObjectPool@th105@@QAEPAVSakuyaObject@@PAI@Z,0x006A9414,8b5424088d42e48b,0x0,target Sakuya pool clone uses the same VC8 EH handler entry encoded in its exact prologue,address
??_7SakuyaObject@@6B@,0x006B089C,f0ea4d0030aa450010aa450050ad4500,0x0,target RTTI-owned global SakuyaObject vtable and four observed slots,address
__ehhandler$??0?$TObjectManagerBase@VSakuyaObject@@VCharacterObject@@@@QAE@XZ,0x006A8D0B,8b5424088d42f48b,0x0,target VC8 Sakuya TObjectManagerBase constructor EH handler entry bytes,address
??_7?$TObjectManagerBase@VSakuyaObject@@VCharacterObject@@@@6B@,0x006B08E4,50ec4d00,0x0,target RTTI-owned Sakuya TObjectManagerBase vtable and deleting-destructor slot,address
__ehhandler$??0?$TObjectManagerBase@VReimuObject@@VCharacterObject@@@@QAE@XZ,0x006A8B4B,8b5424088d42f48b,0x0,target VC8 Reimu TObjectManagerBase constructor EH handler entry bytes,address
??_7?$TObjectManagerBase@VReimuObject@@VCharacterObject@@@@6B@,0x006B00FC,f02e4900,0x0,target RTTI-owned Reimu TObjectManagerBase vtable and deleting-destructor slot,address
__ehhandler$??0?$TObjectManagerBase@VMarisaObject@@VCharacterObject@@@@QAE@XZ,0x006A8C1B,8b5424088d42f48b,0x0,target VC8 Marisa TObjectManagerBase constructor EH handler entry bytes,address
??_7?$TObjectManagerBase@VMarisaObject@@VCharacterObject@@@@6B@,0x006B0554,30964b00,0x0,target RTTI-owned Marisa TObjectManagerBase vtable and deleting-destructor slot,address
__ehhandler$??0?$TObjectManagerBase@VAliceObject@@VCharacterObject@@@@QAE@XZ,0x006A8DAB,8b5424088d42f48b,0x0,target VC8 Alice TObjectManagerBase constructor EH handler entry bytes,address
??_7?$TObjectManagerBase@VAliceObject@@VCharacterObject@@@@6B@,0x006B0BAC,90a24f00,0x0,target RTTI-owned Alice TObjectManagerBase vtable and deleting-destructor slot,address
__ehhandler$??0?$TObjectManagerBase@VPatchouliObject@@VCharacterObject@@@@QAE@XZ,0x006A8E4B,8b5424088d42f48b,0x0,target VC8 Patchouli TObjectManagerBase constructor EH handler entry bytes,address
??_7?$TObjectManagerBase@VPatchouliObject@@VCharacterObject@@@@6B@,0x006B0E7C,30e75100,0x0,target RTTI-owned Patchouli TObjectManagerBase vtable and deleting-destructor slot,address
__ehhandler$??0?$TObjectManagerBase@VYoumuObject@@VCharacterObject@@@@QAE@XZ,0x006A8EEB,8b5424088d42f48b,0x0,target VC8 Youmu TObjectManagerBase constructor EH handler entry bytes,address
??_7?$TObjectManagerBase@VYoumuObject@@VCharacterObject@@@@6B@,0x006B1114,30ac5300,0x0,target RTTI-owned Youmu TObjectManagerBase vtable and deleting-destructor slot,address
__ehhandler$??0?$TObjectManagerBase@VRemiliaObject@@VCharacterObject@@@@QAE@XZ,0x006A8FCB,8b5424088d42f48b,0x0,target VC8 Remilia TObjectManagerBase constructor EH handler entry bytes,address
??_7?$TObjectManagerBase@VRemiliaObject@@VCharacterObject@@@@6B@,0x006B1394,005a5500,0x0,target RTTI-owned Remilia TObjectManagerBase vtable and deleting-destructor slot,address
__ehhandler$??0?$TObjectManagerBase@VYuyukoObject@@VCharacterObject@@@@QAE@XZ,0x006A909B,8b5424088d42f48b,0x0,target VC8 Yuyuko TObjectManagerBase constructor EH handler entry bytes,address
??_7?$TObjectManagerBase@VYuyukoObject@@VCharacterObject@@@@6B@,0x006B161C,c0d55600,0x0,target RTTI-owned Yuyuko TObjectManagerBase vtable and deleting-destructor slot,address
__ehhandler$??0?$TObjectManagerBase@VYukariObject@@VCharacterObject@@@@QAE@XZ,0x006A913B,8b5424088d42f48b,0x0,target VC8 Yukari TObjectManagerBase constructor EH handler entry bytes,address
??_7?$TObjectManagerBase@VYukariObject@@VCharacterObject@@@@6B@,0x006B189C,10b75800,0x0,target RTTI-owned Yukari TObjectManagerBase vtable and deleting-destructor slot,address
__ehhandler$??0?$TObjectManagerBase@VSuikaObject@@VCharacterObject@@@@QAE@XZ,0x006A91DB,8b5424088d42f48b,0x0,target VC8 Suika TObjectManagerBase constructor EH handler entry bytes,address
??_7?$TObjectManagerBase@VSuikaObject@@VCharacterObject@@@@6B@,0x006B1B5C,50e15a00,0x0,target RTTI-owned Suika TObjectManagerBase vtable and deleting-destructor slot,address
__ehhandler$??0?$TObjectManagerBase@VUdongeObject@@VCharacterObject@@@@QAE@XZ,0x006A92BB,8b5424088d42f48b,0x0,target VC8 Udonge TObjectManagerBase constructor EH handler entry bytes,address
??_7?$TObjectManagerBase@VUdongeObject@@VCharacterObject@@@@6B@,0x006B1DFC,b0605d00,0x0,target RTTI-owned Udonge TObjectManagerBase vtable and deleting-destructor slot,address
__ehhandler$??0?$TObjectManagerBase@VKomachiObject@@VCharacterObject@@@@QAE@XZ,0x006A935B,8b5424088d42f48b,0x0,target VC8 Komachi TObjectManagerBase constructor EH handler entry bytes,address
??_7?$TObjectManagerBase@VKomachiObject@@VCharacterObject@@@@6B@,0x006B2034,706e5f00,0x0,target RTTI-owned Komachi TObjectManagerBase vtable and deleting-destructor slot,address
__ehhandler$??0?$TObjectManagerBase@VAyaObject@@VCharacterObject@@@@QAE@XZ,0x006A943B,8b5424088d42f48b,0x0,target VC8 Aya TObjectManagerBase constructor EH handler entry bytes,address
